name,icon,address,description
商场免费停车,🅿️,深圳福田卓悦汇购物中心,任意消费并积分可获赠1张2h停车优惠券
商场免费停车,🅿️,深圳福田卓悦INTOWN,新注册会员任意消费并积分自动派发停车券，免费停车2小时。
商场免费停车,🅿️,深圳福田深业上城,新注册成为银卡会员免费停车1h；非会员15分钟内免费停车
商场免费停车,🅿️,深圳福田中航城君尚,新注册会员当日消费满100元并积分免费停车2h
商场免费停车,🅿️,深圳福田kk one,成为会员每月首单消费赠6h停车券（3张*2小时）；当日单笔消费满200元并积分赠2h免费停车券。
商场免费停车,🅿️,深圳福田东海缤纷天地,全场单笔消费满50元可免3h停车费；凭英皇电影城(东海店)票根，免3h停车费，可叠加消费免停优惠且最多可免5h。
商场免费停车,🅿️,深圳福田世纪汇广场,当日累计消费188元升级为贵宾卡，每日每车享3h免费停车。
商场免费停车,🅿️,深圳福田中洲湾,会员任意消费并积分赠2h停车券；普卡会员每月2h（1张*2小时）。
商场免费停车,🅿️,深圳深圳印力中心,山姆会员店单笔消费满50元，凭当日对应消费小票可免首2小时停车【微信小程序自助扫码减免】；新注册普卡会员当日累计消费满300元并集星贝可领1h(10元)停车抵用券。
商场免费停车,🅿️,深圳罗湖宝能环球汇,新注册就是银卡会员，当天首停享3小时以内免费时长，还可叠加积分优惠100分=5元停车费。
商场免费停车,🅿️,深圳罗湖天河城,新注册成为会员teem卡，每日首次入场享2h免费停车；单笔消费满99元并积分，赠1h停车券，可与其它优惠叠加。
商场免费停车,🅿️,深圳南山欢乐时光,新注册成为积分卡会员，每日可享受2h免费停车
商场免费停车,🅿️,深圳深圳湾睿印RAIL IN,新注册成为会员营业时间内免费停车3小时；任意消费并积分加赠免费停车2小时。
商场免费停车,🅿️,深圳西丽宝能环球汇,新注册就是银卡会员，当天首停享3小时以内免费时长，还可叠加积分优惠100分=5元停车费。
商场免费停车,🅿️,深圳宝能allcity南山店,新注册就是银卡会员，当天首停享3小时以内免费时长，还可叠加积分优惠100分=5元停车费。
商场免费停车,🅿️,深圳前海印里,新注册就是普卡会员，当日累计消费满50元并积分，凭当日小票可免首2h停车;每100积分抵扣5元停车费。
商场免费停车,🅿️,深圳南山京基百纳广场,首小时免费；新入会会员获赠50积分+2小时停车券，首笔消费再赠100积分，50积分可抵5元停车费(1小时)。
商场免费停车,🅿️,深圳南山欢乐颂,首小时免费；会员当日累计消费满500元并完成积分，送2小时停车优惠券
商场免费停车,🅿️,深圳深圳欢乐港湾,新注册成为积分卡会员工作日首次停车免费2小时，非工作日当日累计消费满200元并完成积分可享受免费停车2小时。
商场免费停车,🅿️,深圳海雅缤纷城,注册成为会员就享2小时免费停车
商场免费停车,🅿️,深圳龙岗星河world cocopark,新注册成为V卡会员每日免停1h
商场免费停车,🅿️,深圳深圳仁恒梦中心,新注册会员首月即可获赠2张2小时停车优惠券，有效期自注册日起90天内。
商场免费停车,🅿️,深圳宝能allcity龙岗店,新注册就是银卡会员，当天首停享3小时以内免费时长，还可叠加积分优惠100分=5元停车费。
商场免费停车,🅿️,深圳龙华壹方天地,新注册成为微卡会员送100积分，可兑换10元停车券=2小时免费停车
商场免费停车,🅿️,深圳坪山天虹,新注册即成为银卡会员，凭消费时进行天虹积分满50元享免费停车3小时（消费积分前需绑定车牌)。
商场免费停车,🅿️,深圳光明大仟里MAXLAND,注册即成为微卡会员，当日消费满99元并积分免费停车2小时。
商场免费停车,🅿️,深圳深圳大梅沙8号仓,免费送300积分兑换2.5h或3h免费停车券。
商场免费停车,🅿️,深圳深圳葵涌花生唐购物中心,任意店铺消费即可办理免费停车3小时（麦当劳/小米之家等）
